epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,50.0064,0.25568,1.72789,0.90513,0.00816,0.10056,0.00385,0.00183,2.93846,inf,4.26138,0.0702885,0.00330128,0.00330128
2,89.8829,0.23244,1.21113,0.88195,0.32372,0.13176,0.02432,0.01308,1.15832,10.5044,1.25447,0.0402228,0.00656893,0.00656893
3,127.476,0.22229,1.12796,0.87747,0.55843,0.18507,0.10053,0.0824,0.82118,6.11684,0.87333,0.0100911,0.00977058,0.00977058
4,165.422,0.208,1.03854,0.87498,0.46325,0.49558,0.41314,0.36648,0.42173,2.71253,0.56484,0.009703,0.009703,0.009703
5,203.742,0.17863,0.97184,0.86625,0.59864,0.52362,0.54058,0.5227,0.25687,1.36765,0.49004,0.009604,0.009604,0.009604
6,248.556,0.16523,0.87944,0.86552,0.55594,0.28909,0.31166,0.24118,0.59707,2.17884,0.77639,0.009505,0.009505,0.009505
7,324.839,0.15381,0.83433,0.86568,0.78979,0.60514,0.71609,0.69713,0.23651,1.07775,0.47005,0.009406,0.009406,0.009406
8,450.907,0.14776,0.77824,0.86279,0.67125,0.59695,0.62562,0.56238,0.38995,1.51899,0.59121,0.009307,0.009307,0.009307
9,728.695,0.14002,0.74534,0.8597,0.83612,0.70041,0.78729,0.7716,0.25168,0.98529,0.48605,0.009208,0.009208,0.009208
10,890.992,0.1348,0.7163,0.85972,0.80694,0.65817,0.74586,0.73586,0.19083,0.88424,0.50707,0.009109,0.009109,0.009109
11,929.736,0.12369,0.69857,0.86012,0.88804,0.73005,0.81771,0.81402,0.16865,0.61403,0.39972,0.00901,0.00901,0.00901
12,967.347,0.12575,0.68121,0.85899,0.78227,0.66639,0.75148,0.72929,0.23531,0.94288,0.48471,0.008911,0.008911,0.008911
13,1004.76,0.11916,0.65151,0.85799,0.91399,0.72594,0.85051,0.83865,0.28477,0.60026,0.51821,0.008812,0.008812,0.008812
