epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,63.195,1.23159,1.88515,1.194,0.94589,0.88394,0.93162,0.60059,1.17611,1.03236,1.12376,0.00332579,0.00332579,0.00332579
2,112.425,1.2115,0.9912,1.12574,0.92398,0.89153,0.92268,0.57678,1.21654,0.81123,1.18432,0.0065932,0.0065932,0.0065932
3,161.213,1.25287,0.86087,1.15392,0.91831,0.85012,0.90379,0.58059,1.26339,0.79554,1.17164,0.00979461,0.00979461,0.00979461
4,209.92,1.26823,0.82362,1.17264,0.91332,0.86891,0.90744,0.58087,1.25088,0.80024,1.21739,0.009703,0.009703,0.009703
5,257.833,1.23854,0.75392,1.16385,0.95423,0.8861,0.93711,0.62507,1.19529,0.65139,1.15876,0.009604,0.009604,0.009604
6,307.999,1.22235,0.71229,1.15901,0.96187,0.8861,0.92997,0.6032,1.23129,0.67917,1.18328,0.009505,0.009505,0.009505
7,355.865,1.22333,0.70139,1.16897,0.95664,0.89452,0.93406,0.62633,1.16474,0.65081,1.16696,0.009406,0.009406,0.009406
8,404.177,1.19618,0.67096,1.14723,0.96803,0.89665,0.94275,0.62885,1.20888,0.60698,1.15072,0.009307,0.009307,0.009307
9,453.547,1.18663,0.66223,1.13937,0.96647,0.90615,0.95415,0.63765,1.17613,0.58741,1.15708,0.009208,0.009208,0.009208
10,501.937,1.16944,0.63931,1.1267,0.97013,0.90267,0.94363,0.63792,1.19136,0.58109,1.12958,0.009109,0.009109,0.009109
11,551.777,1.16502,0.63354,1.12538,0.96879,0.91435,0.9548,0.65001,1.15569,0.56695,1.12927,0.00901,0.00901,0.00901
12,600.901,1.16472,0.6269,1.1204,0.96925,0.90483,0.94764,0.64628,1.15735,0.57606,1.12286,0.008911,0.008911,0.008911
13,650.617,1.14065,0.60406,1.11078,0.96534,0.91253,0.95285,0.64633,1.16265,0.5473,1.1117,0.008812,0.008812,0.008812
14,699.658,1.14861,0.59996,1.1148,0.9696,0.91548,0.95524,0.657,1.14294,0.55764,1.12493,0.008713,0.008713,0.008713
15,748.559,1.14391,0.59316,1.11079,0.97928,0.92027,0.95751,0.67112,1.11819,0.51572,1.09995,0.008614,0.008614,0.008614
16,798.273,1.13868,0.59198,1.1107,0.96055,0.9097,0.94936,0.65862,1.1228,0.54062,1.09556,0.008515,0.008515,0.008515
17,846.413,1.12831,0.57363,1.10484,0.9768,0.9207,0.95791,0.66237,1.12822,0.53528,1.13149,0.008416,0.008416,0.008416
