epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,1712.96,1.0738,0.50434,1.12933,0.97668,0.9303,0.96164,0.67572,1.08685,0.46532,1.12804,0.005743,0.005743,0.005743
45,1751.11,1.07856,0.51099,1.1369,0.98085,0.93322,0.96484,0.68342,1.08462,0.47109,1.14067,0.005644,0.005644,0.005644
46,1789.98,1.06888,0.50421,1.13529,0.98504,0.92987,0.96306,0.68668,1.07863,0.44989,1.12837,0.005545,0.005545,0.005545
47,1829.12,1.06404,0.49888,1.127,0.98363,0.93102,0.96576,0.68523,1.0863,0.44572,1.1342,0.005446,0.005446,0.005446
48,1868.05,1.06671,0.49898,1.12991,0.97498,0.93485,0.96439,0.68461,1.07153,0.45661,1.13392,0.005347,0.005347,0.005347
49,1906.74,1.06348,0.49409,1.1298,0.98466,0.93559,0.96533,0.68236,1.07888,0.44508,1.12782,0.005248,0.005248,0.005248
50,1945.24,1.06269,0.48849,1.12591,0.9791,0.93892,0.96621,0.68657,1.07543,0.44639,1.12432,0.005149,0.005149,0.005149
51,1982.78,1.05193,0.48709,1.12136,0.98794,0.93328,0.96472,0.68843,1.08055,0.44939,1.13266,0.00505,0.00505,0.00505
52,2020.3,1.05734,0.48855,1.11957,0.97481,0.93449,0.96262,0.68394,1.08128,0.4474,1.1258,0.004951,0.004951,0.004951
53,2057.81,1.05353,0.48684,1.12211,0.9777,0.93892,0.96647,0.68821,1.08708,0.44972,1.13413,0.004852,0.004852,0.004852
54,2096.26,1.05348,0.47906,1.12111,0.98124,0.92949,0.96274,0.67853,1.09734,0.44099,1.12547,0.004753,0.004753,0.004753
55,2134.32,1.04765,0.48595,1.11897,0.97317,0.94174,0.96662,0.68529,1.07841,0.43891,1.13671,0.004654,0.004654,0.004654
56,2172.37,1.05049,0.47885,1.11435,0.98067,0.94032,0.9662,0.69332,1.06718,0.43484,1.10356,0.004555,0.004555,0.004555
57,2210.53,1.05421,0.48471,1.11477,0.98175,0.93667,0.96692,0.68721,1.07946,0.43727,1.13546,0.004456,0.004456,0.004456
58,2248.29,1.04107,0.47463,1.11642,0.97628,0.93769,0.96509,0.69073,1.07131,0.43476,1.12014,0.004357,0.004357,0.004357
59,2285.89,1.03556,0.47111,1.10872,0.98515,0.93715,0.97095,0.69248,1.07168,0.43199,1.12212,0.004258,0.004258,0.004258
60,2324.82,1.04293,0.47619,1.11064,0.98561,0.93616,0.96831,0.69129,1.07468,0.4268,1.12314,0.004159,0.004159,0.004159
61,2364.66,1.03536,0.46732,1.11137,0.98641,0.93622,0.97134,0.70008,1.06763,0.42812,1.11496,0.00406,0.00406,0.00406
62,2404.13,1.03567,0.46979,1.10409,0.98363,0.93895,0.96705,0.69352,1.06821,0.42508,1.1088,0.003961,0.003961,0.003961
63,2443.95,1.03257,0.46494,1.10493,0.98471,0.93911,0.96843,0.69622,1.06912,0.4206,1.11984,0.003862,0.003862,0.003862
64,2483.89,1.0263,0.46178,1.10313,0.97871,0.94239,0.96866,0.69544,1.06581,0.42011,1.12278,0.003763,0.003763,0.003763
65,2523.1,1.03429,0.46358,1.10001,0.98516,0.93771,0.96871,0.6923,1.05983,0.41893,1.11543,0.003664,0.003664,0.003664
66,2562.1,1.03463,0.46207,1.10914,0.98448,0.93759,0.97182,0.6974,1.06026,0.41576,1.11879,0.003565,0.003565,0.003565
67,2601.86,1.02785,0.46241,1.11034,0.98378,0.93759,0.97184,0.70385,1.05901,0.42104,1.12112,0.003466,0.003466,0.003466
68,2640.85,1.02803,0.46387,1.11283,0.98052,0.94214,0.9689,0.69711,1.05941,0.41996,1.12313,0.003367,0.003367,0.003367
69,2679.98,1.00922,0.45002,1.0982,0.97968,0.93986,0.97158,0.70156,1.06184,0.41986,1.11241,0.003268,0.003268,0.003268
70,2719.78,1.02419,0.4549,1.10773,0.98354,0.93895,0.97128,0.7036,1.06147,0.41318,1.11628,0.003169,0.003169,0.003169
71,2759.09,1.01373,0.44661,1.1026,0.98011,0.94267,0.96988,0.70198,1.06201,0.41098,1.11129,0.00307,0.00307,0.00307
72,2799.19,1.01362,0.44465,1.09265,0.98376,0.93844,0.96912,0.7016,1.05477,0.40808,1.10186,0.002971,0.002971,0.002971
73,2838.33,1.01538,0.44644,1.09097,0.97999,0.93725,0.96879,0.70203,1.06247,0.40921,1.10102,0.002872,0.002872,0.002872
74,2877.77,1.01368,0.44641,1.09835,0.98097,0.94169,0.9706,0.70126,1.06176,0.40829,1.107,0.002773,0.002773,0.002773
75,2917.82,1.00966,0.43793,1.0922,0.98281,0.93776,0.96881,0.69634,1.06333,0.40748,1.10804,0.002674,0.002674,0.002674
76,2957.49,0.9925,0.43223,1.08935,0.9797,0.94123,0.9703,0.70477,1.06082,0.40778,1.11027,0.002575,0.002575,0.002575
77,2997.38,1.00675,0.44209,1.09697,0.97732,0.94226,0.96812,0.70083,1.05775,0.40692,1.10701,0.002476,0.002476,0.002476
78,3037.29,0.99845,0.43602,1.08905,0.98535,0.93804,0.9691,0.70327,1.06074,0.40116,1.10963,0.002377,0.002377,0.002377
79,3077.16,0.99947,0.43726,1.09683,0.98848,0.93791,0.97129,0.7068,1.05174,0.40158,1.10764,0.002278,0.002278,0.002278
80,3115.87,0.99617,0.43344,1.08601,0.9798,0.94396,0.96911,0.70337,1.05394,0.39972,1.10727,0.002179,0.002179,0.002179
81,3155.64,0.9903,0.4306,1.08115,0.98059,0.9437,0.96914,0.70328,1.05118,0.39733,1.10284,0.00208,0.00208,0.00208
82,3195.45,0.9984,0.43152,1.08663,0.98939,0.93468,0.96953,0.70469,1.05612,0.39916,1.10411,0.001981,0.001981,0.001981
83,3236.17,0.9844,0.42732,1.08853,0.98375,0.93779,0.96834,0.70283,1.05273,0.40288,1.10914,0.001882,0.001882,0.001882
84,3276.31,0.98246,0.42582,1.08122,0.9826,0.9426,0.97102,0.7053,1.05526,0.40104,1.10383,0.001783,0.001783,0.001783
85,3316.1,0.98605,0.42888,1.08126,0.98244,0.94305,0.97012,0.70424,1.05273,0.39941,1.10097,0.001684,0.001684,0.001684
86,3355.38,0.98667,0.42163,1.07875,0.98289,0.94236,0.96884,0.70234,1.05249,0.39914,1.10108,0.001585,0.001585,0.001585
87,3396.21,0.98534,0.42599,1.07378,0.98035,0.94396,0.9708,0.70524,1.05207,0.40056,1.09707,0.001486,0.001486,0.001486
88,3435.83,0.98101,0.41915,1.07628,0.98298,0.93804,0.97104,0.70484,1.05507,0.39989,1.09673,0.001387,0.001387,0.001387
89,3474.18,0.98352,0.41957,1.08086,0.98473,0.9426,0.9701,0.70542,1.05418,0.39764,1.09976,0.001288,0.001288,0.001288
90,3513.77,0.98057,0.41777,1.07719,0.98476,0.9385,0.96911,0.70478,1.05294,0.39849,1.1038,0.001189,0.001189,0.001189
91,3580.33,0.97844,0.38393,1.08145,0.97692,0.94351,0.9679,0.70265,1.05235,0.39721,1.10699,0.00109,0.00109,0.00109
92,3619.22,0.96914,0.37591,1.07618,0.97964,0.94254,0.96952,0.70625,1.05198,0.39885,1.10526,0.000991,0.000991,0.000991
93,3658.32,0.95998,0.37376,1.06969,0.98105,0.94362,0.97074,0.70719,1.05016,0.39667,1.10195,0.000892,0.000892,0.000892
94,3697.55,0.96422,0.37261,1.06805,0.98519,0.9398,0.97022,0.70797,1.05129,0.3949,1.1015,0.000793,0.000793,0.000793
95,3736.37,0.96018,0.36684,1.07112,0.98375,0.93796,0.96984,0.70929,1.05229,0.39696,1.1036,0.000694,0.000694,0.000694
96,3775.33,0.95656,0.3663,1.07114,0.98148,0.94154,0.96922,0.70966,1.05162,0.39588,1.10596,0.000595,0.000595,0.000595
97,3814.11,0.95588,0.36472,1.06902,0.98751,0.93619,0.96939,0.70851,1.04982,0.39668,1.10535,0.000496,0.000496,0.000496
98,3852.69,0.95492,0.36238,1.06584,0.98657,0.937,0.96952,0.70803,1.05111,0.39556,1.10427,0.000397,0.000397,0.000397
99,3890.89,0.94833,0.36267,1.06233,0.97885,0.94214,0.96977,0.70901,1.05077,0.39557,1.10196,0.000298,0.000298,0.000298
100,3929.57,0.95114,0.36215,1.06289,0.97921,0.94416,0.97024,0.70897,1.05176,0.3952,1.10143,0.000199,0.000199,0.000199
