epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,87.9764,1.43056,1.23866,1.34194,0.8029,0.74046,0.78376,0.43179,1.54204,1.52789,1.59192,0.0700763,0.00332485,0.00332485
2,167.954,1.40686,1.01532,1.37729,0.81582,0.76948,0.81815,0.47894,1.44804,1.42149,1.50609,0.0400104,0.00659227,0.00659227
3,246.416,1.36825,0.92534,1.3689,0.87258,0.78314,0.85418,0.49363,1.44774,1.14266,1.54513,0.0098785,0.00979369,0.00979369
4,324.261,1.31057,0.83917,1.31173,0.92944,0.8342,0.90277,0.55904,1.3272,0.95554,1.38663,0.009703,0.009703,0.009703
5,402.299,1.2882,0.80568,1.30942,0.89309,0.8697,0.89758,0.56491,1.29023,0.86516,1.3927,0.009604,0.009604,0.009604
6,480.483,1.26552,0.77283,1.29132,0.93987,0.86059,0.92663,0.60695,1.23955,0.71693,1.35425,0.009505,0.009505,0.009505
7,559.58,1.26004,0.74345,1.28145,0.94619,0.84915,0.92222,0.59226,1.26684,0.73188,1.37951,0.009406,0.009406,0.009406
8,637.901,1.24282,0.73377,1.26702,0.9497,0.87736,0.93591,0.60721,1.26591,0.69569,1.33648,0.009307,0.009307,0.009307
9,716.12,1.2394,0.71356,1.2621,0.96243,0.8697,0.94344,0.60474,1.25545,0.70641,1.3784,0.009208,0.009208,0.009208
10,795.357,1.21243,0.69686,1.24575,0.9589,0.87973,0.94095,0.61922,1.21149,0.70604,1.31413,0.009109,0.009109,0.009109
11,874.756,1.22185,0.69115,1.24687,0.97073,0.87648,0.94596,0.62039,1.22329,0.63475,1.33049,0.00901,0.00901,0.00901
12,953.734,1.19816,0.67201,1.23837,0.96277,0.88359,0.94842,0.63498,1.2077,0.60394,1.31714,0.008911,0.008911,0.008911
13,1032.04,1.20017,0.66752,1.23674,0.94994,0.88292,0.94215,0.62591,1.19564,0.66296,1.31371,0.008812,0.008812,0.008812
14,1111.4,1.19834,0.66462,1.23887,0.94847,0.90572,0.94699,0.6324,1.18318,0.6242,1.29577,0.008713,0.008713,0.008713
15,1190.61,1.19715,0.66051,1.23083,0.96205,0.9008,0.95137,0.63663,1.17998,0.65554,1.28726,0.008614,0.008614,0.008614
16,1269.7,1.18479,0.64084,1.22076,0.93858,0.88421,0.93879,0.62552,1.19396,0.66049,1.29433,0.008515,0.008515,0.008515
17,1349.27,1.18238,0.63497,1.21764,0.9561,0.90387,0.95068,0.63287,1.19921,0.59965,1.30058,0.008416,0.008416,0.008416
18,1428.82,1.17611,0.62799,1.21981,0.9412,0.91162,0.95285,0.64224,1.18936,0.58187,1.2947,0.008317,0.008317,0.008317
19,1506.45,1.17509,0.62854,1.22513,0.974,0.90444,0.94946,0.6386,1.1975,0.58214,1.29722,0.008218,0.008218,0.008218
