epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,18.5368,0.65323,1.61657,1.20362,0.01425,0.322,0.01927,0.00231,3.84868,3.17821,13.974,0.0706,0.00326667,0.00326667
2,29.9051,0.43304,0.67261,1.02976,0.00749,0.04812,0.00397,0.00059,4.72138,5.92678,11.2908,0.0405347,0.00653466,0.00653466
3,40.984,0.37717,0.58055,0.99359,0.50275,0.07113,0.00159,0.00028,4.57358,44.2816,4.50766,0.0104033,0.00973665,0.00973665
4,51.9429,0.34771,0.56082,0.95907,0.58069,0.16318,0.06113,0.01229,3.74486,17.2419,5.76954,0.009703,0.009703,0.009703
5,63.1572,0.3322,0.50091,0.93321,0.82779,0.47699,0.48931,0.25286,1.5272,3.28771,2.13778,0.009604,0.009604,0.009604
