epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,37.5542,2.38645,0.31687,0.59765,2.94218,0.0700378,0.00332914,0.00332914
2,72.6852,1.81405,0.52962,0.78836,1.782,0.0399059,0.00653055,0.00653055
3,107.757,1.60701,0.52455,0.77657,1.76358,0.00964195,0.00959997,0.00959997
4,143.006,1.4269,0.59082,0.81159,1.57347,0.009406,0.009406,0.009406
5,178.013,1.29877,0.6279,0.83228,1.42269,0.009208,0.009208,0.009208
6,213.408,1.19749,0.61905,0.8235,1.44783,0.00901,0.00901,0.00901
7,248.203,1.14224,0.70719,0.87284,1.11975,0.008812,0.008812,0.008812
8,282.754,1.09514,0.7198,0.88575,1.05193,0.008614,0.008614,0.008614
9,317.199,1.04494,0.74415,0.89312,0.97385,0.008416,0.008416,0.008416
10,351.635,0.99678,0.76484,0.89961,0.92117,0.008218,0.008218,0.008218
11,386.624,0.96516,0.76702,0.90444,0.90405,0.00802,0.00802,0.00802
12,421.384,0.92648,0.76938,0.90568,0.88628,0.007822,0.007822,0.007822
13,456.193,0.88909,0.7797,0.90904,0.84964,0.007624,0.007624,0.007624
14,491.415,0.85324,0.79037,0.91134,0.81626,0.007426,0.007426,0.007426
15,527.449,0.81773,0.79013,0.91287,0.81361,0.007228,0.007228,0.007228
16,567.203,0.79751,0.79361,0.91364,0.7975,0.00703,0.00703,0.00703
17,612.988,0.78023,0.79502,0.91652,0.79403,0.006832,0.006832,0.006832
18,740.689,0.73989,0.79785,0.91629,0.78912,0.006634,0.006634,0.006634
19,934.159,0.72,0.79868,0.91688,0.78641,0.006436,0.006436,0.006436
20,1072.16,0.69848,0.80009,0.91641,0.78517,0.006238,0.006238,0.006238
21,1292.92,0.67889,0.80104,0.91717,0.78175,0.00604,0.00604,0.00604
22,1510.28,0.65238,0.80245,0.91617,0.77934,0.005842,0.005842,0.005842
23,1722.69,0.63513,0.80446,0.91652,0.77506,0.005644,0.005644,0.005644
24,1937.44,0.61332,0.80522,0.91723,0.77245,0.005446,0.005446,0.005446
25,2133.23,0.60032,0.8064,0.91788,0.7717,0.005248,0.005248,0.005248
26,2332.21,0.57422,0.8074,0.91782,0.77029,0.00505,0.00505,0.00505
27,2540.75,0.5551,0.80658,0.9177,0.77254,0.004852,0.004852,0.004852
28,2705.08,0.54237,0.80758,0.91794,0.76953,0.004654,0.004654,0.004654
29,2882.47,0.52171,0.80829,0.91853,0.77129,0.004456,0.004456,0.004456
30,3081.83,0.50843,0.80888,0.91888,0.77034,0.004258,0.004258,0.004258g
31,3291.95,0.49104,0.80906,0.91882,0.76972,0.00406,0.00406,0.00406
32,3504.57,0.47473,0.80923,0.91835,0.76925,0.003862,0.003862,0.003862
33,3720.34,0.46247,0.80917,0.91853,0.77255,0.003664,0.003664,0.003664
34,3944.78,0.44689,0.80959,0.91841,0.77117,0.003466,0.003466,0.003466
35,4116.78,0.43531,0.81023,0.91806,0.77077,0.003268,0.003268,0.003268
36,4341.07,0.41718,0.81018,0.91817,0.77441,0.00307,0.00307,0.00307
37,4536.26,0.40704,0.81018,0.91865,0.77456,0.002872,0.002872,0.002872
38,4647.9,0.39054,0.81112,0.91894,0.7768,0.002674,0.002674,0.002674
39,4835.79,0.37694,0.81065,0.91841,0.77839,0.002476,0.002476,0.002476
40,5048.55,0.36664,0.81118,0.91865,0.77958,0.002278,0.002278,0.002278
41,5227.12,0.35518,0.81212,0.91876,0.78206,0.00208,0.00208,0.00208
42,5436.11,0.34228,0.81236,0.91894,0.78428,0.001882,0.001882,0.001882
43,5646.38,0.33272,0.81212,0.91835,0.79013,0.001684,0.001684,0.001684
44,5758.11,0.32584,0.81177,0.91847,0.79361,0.001486,0.001486,0.001486
45,5807.37,0.31374,0.81094,0.91788,0.79793,0.001288,0.001288,0.001288
46,5996.99,0.30843,0.81029,0.91788,0.80253,0.00109,0.00109,0.00109
47,6186.33,0.29996,0.81035,0.91794,0.80707,0.000892,0.000892,0.000892
48,6402.97,0.28307,0.81076,0.91759,0.81157,0.000694,0.000694,0.000694
49,6609.12,0.2735,0.81106,0.91723,0.81845,0.000496,0.000496,0.000496
50,6797.58,0.27257,0.81082,0.91741,0.81961,0.000298,0.000298,0.000298
