epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,572.587,1.5063,1.16548,1.5602,0.94651,0.83666,0.91006,0.58433,1.33595,0.85044,1.34349,0.0700112,0.00333209,0.00333209
2,1181.68,1.42966,0.96423,1.53212,0.9246,0.81785,0.89565,0.55645,1.27423,1.3663,1.3896,0.0399452,0.00659944,0.00659944
3,1714.18,1.36348,0.86261,1.48239,0.96365,0.90311,0.94787,0.63109,1.21721,0.64566,1.28077,0.00981319,0.00980078,0.00980078
4,2228.53,1.3104,0.77949,1.4389,0.97339,0.92135,0.96579,0.66208,1.16107,0.55553,1.2697,0.009703,0.009703,0.009703
5,2740.9,1.28119,0.73895,1.4197,0.96585,0.93145,0.9662,0.65861,1.16755,0.53799,1.28036,0.009604,0.009604,0.009604
6,3252.68,1.26004,0.70701,1.39895,0.97627,0.93463,0.97015,0.66473,1.14853,0.52169,1.26403,0.009505,0.009505,0.009505
7,3764.91,1.2433,0.68554,1.38005,0.97283,0.9331,0.97061,0.67994,1.12576,0.49079,1.22928,0.009406,0.009406,0.009406
8,4276.44,1.2308,0.67165,1.37656,0.97819,0.93519,0.97368,0.68467,1.11837,0.47039,1.24996,0.009307,0.009307,0.009307
9,4785.99,1.21416,0.65424,1.3642,0.97208,0.94528,0.97592,0.688,1.11798,0.45383,1.22832,0.009208,0.009208,0.009208
10,5295.49,1.20705,0.64407,1.35434,0.97787,0.93982,0.976,0.69065,1.10343,0.45046,1.22315,0.009109,0.009109,0.009109
11,5805.99,1.19781,0.63058,1.34708,0.98485,0.94074,0.97611,0.69732,1.09983,0.43885,1.2268,0.00901,0.00901,0.00901
12,6316.97,1.19094,0.62013,1.34031,0.978,0.94859,0.97972,0.69823,1.09485,0.43188,1.21271,0.008911,0.008911,0.008911
13,6828.67,1.18274,0.61352,1.33908,0.97769,0.95009,0.97925,0.70079,1.09264,0.42094,1.21533,0.008812,0.008812,0.008812
14,7339.91,1.1717,0.60346,1.33038,0.97541,0.95272,0.98111,0.69994,1.09025,0.42004,1.21513,0.008713,0.008713,0.008713
15,7850.46,1.16427,0.59472,1.32598,0.97675,0.95415,0.98132,0.70294,1.08615,0.415,1.20912,0.008614,0.008614,0.008614
16,8370.96,1.15947,0.58672,1.31887,0.98172,0.94631,0.98085,0.7062,1.08438,0.41128,1.20484,0.008515,0.008515,0.008515
17,8996.51,1.15152,0.582,1.31681,0.98303,0.94652,0.97996,0.70752,1.08181,0.4098,1.2041,0.008416,0.008416,0.008416
18,9615.4,1.14201,0.57635,1.3103,0.97624,0.95602,0.98086,0.70932,1.07873,0.40555,1.20167,0.008317,0.008317,0.008317
19,10237.6,1.1451,0.57458,1.31135,0.97813,0.95478,0.9811,0.71046,1.07692,0.40375,1.2003,0.008218,0.008218,0.008218
20,10863,1.13765,0.56859,1.30186,0.97399,0.95874,0.98183,0.7111,1.0747,0.40208,1.19548,0.008119,0.008119,0.008119
