epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,231.617,1.23874,1.48671,1.26361,0.97124,0.90646,0.94949,0.5755,1.334,0.74907,1.17204,0.00332865,0.00332865,0.00332865
2,450.16,1.22776,0.80701,1.17888,0.97179,0.88499,0.93832,0.61959,1.19964,0.69279,1.12087,0.00653007,0.00653007,0.00653007
3,668.222,1.2899,0.78959,1.22202,0.94698,0.86296,0.91379,0.51425,1.46075,1.02847,1.27174,0.0095995,0.0095995,0.0095995
4,886.836,1.28856,0.76372,1.23042,0.96649,0.90521,0.94687,0.6274,1.18671,0.57682,1.14015,0.009406,0.009406,0.009406
5,1105.25,1.23266,0.68976,1.19838,0.9659,0.92986,0.96264,0.65378,1.18905,0.51512,1.11218,0.009208,0.009208,0.009208
6,1323.33,1.20053,0.65261,1.17828,0.9705,0.92319,0.96208,0.60132,1.28535,0.54931,1.17311,0.00901,0.00901,0.00901
7,1540.55,1.1794,0.62879,1.16577,0.97512,0.93702,0.96874,0.67712,1.10297,0.47236,1.06275,0.008812,0.008812,0.008812
8,1758.59,1.15703,0.60896,1.15295,0.97302,0.94562,0.97076,0.6793,1.10481,0.45212,1.06993,0.008614,0.008614,0.008614
9,1977.17,1.14735,0.59434,1.14369,0.97223,0.94717,0.97126,0.69308,1.08437,0.43099,1.05529,0.008416,0.008416,0.008416
10,2194.82,1.13213,0.58294,1.13542,0.97676,0.94487,0.9744,0.69145,1.0783,0.42309,1.05505,0.008218,0.008218,0.008218
11,2412.84,1.12494,0.57635,1.1319,0.98832,0.94334,0.97465,0.70137,1.07109,0.40762,1.04492,0.00802,0.00802,0.00802
12,2631.31,1.11711,0.56486,1.12442,0.98417,0.95106,0.97638,0.70393,1.06037,0.39881,1.04097,0.007822,0.007822,0.007822
13,2849.18,1.10576,0.55447,1.1216,0.98627,0.94941,0.97754,0.70868,1.05524,0.38953,1.03907,0.007624,0.007624,0.007624
14,3068.1,1.09954,0.54843,1.11815,0.98274,0.95248,0.98069,0.70734,1.05825,0.38181,1.04009,0.007426,0.007426,0.007426
15,3286.6,1.09261,0.54622,1.11471,0.98484,0.95247,0.98145,0.71327,1.04885,0.37887,1.0361,0.007228,0.007228,0.007228
16,3504.65,1.0838,0.53315,1.10791,0.98613,0.95395,0.98225,0.71616,1.04187,0.37146,1.03277,0.00703,0.00703,0.00703
17,3722.58,1.08059,0.5323,1.10641,0.99205,0.9531,0.98279,0.71545,1.04076,0.36847,1.02979,0.006832,0.006832,0.006832
18,3941.44,1.0759,0.52469,1.10193,0.98828,0.95726,0.9824,0.71558,1.03827,0.36307,1.028,0.006634,0.006634,0.006634
19,4158.2,1.07047,0.52043,1.10067,0.99058,0.95541,0.98311,0.71813,1.0363,0.3622,1.02778,0.006436,0.006436,0.006436
20,4375.58,1.06402,0.51558,1.09807,0.98976,0.95759,0.98402,0.72027,1.0343,0.35947,1.0264,0.006238,0.006238,0.006238
21,4592.29,1.06094,0.51087,1.09476,0.99209,0.95499,0.98328,0.72054,1.03472,0.35718,1.02688,0.00604,0.00604,0.00604
22,4809.54,1.0534,0.50525,1.09106,0.99143,0.95496,0.98421,0.72031,1.03456,0.35458,1.02589,0.005842,0.005842,0.005842
23,5026.06,1.05223,0.50501,1.09024,0.98497,0.96073,0.98456,0.72007,1.03395,0.35292,1.02498,0.005644,0.005644,0.005644
