epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,46.0876,1.38874,1.22837,1.28922,0.23121,0.28975,0.1836,0.08554,2.12223,14.9309,2.17768,0.0701734,0.00331407,0.00331407
2,86.3063,1.42076,0.99496,1.33702,0.0841,0.64875,0.07204,0.03856,1.5062,21.7221,1.49483,0.0401076,0.00658159,0.00658159
3,125.852,1.3747,0.90641,1.31453,0.84555,0.80547,0.82447,0.51705,1.34356,1.90531,1.29341,0.00997579,0.00978311,0.00978311
4,163.989,1.29575,0.80021,1.25319,0.91619,0.82174,0.87218,0.52628,1.36289,0.91077,1.31278,0.009703,0.009703,0.009703
5,202.03,1.25785,0.74329,1.22995,0.94094,0.83736,0.88862,0.56878,1.29922,0.79632,1.25246,0.009604,0.009604,0.009604
6,240.858,1.24976,0.72403,1.22989,0.9584,0.8656,0.91788,0.59951,1.23895,0.68784,1.21861,0.009505,0.009505,0.009505
7,278.893,1.23525,0.70561,1.22065,0.94927,0.8525,0.91757,0.58783,1.27244,0.73728,1.24795,0.009406,0.009406,0.009406
8,316.931,1.21429,0.69052,1.20811,0.9457,0.89476,0.93397,0.62253,1.21427,0.63038,1.19743,0.009307,0.009307,0.009307
9,355.225,1.21321,0.67736,1.20277,0.95092,0.88018,0.92128,0.59509,1.24165,0.70107,1.2225,0.009208,0.009208,0.009208
10,393.836,1.20602,0.66934,1.20986,0.95997,0.87426,0.9205,0.61082,1.22907,0.68184,1.21546,0.009109,0.009109,0.009109
11,431.462,1.19917,0.65318,1.20648,0.96341,0.88763,0.9372,0.62852,1.19295,0.61935,1.2032,0.00901,0.00901,0.00901
12,469.528,1.19665,0.64734,1.197,0.94442,0.91071,0.9367,0.61917,1.18335,0.62986,1.20973,0.008911,0.008911,0.008911
13,507.915,1.17994,0.6397,1.19951,0.96158,0.90081,0.94265,0.63237,1.18715,0.60761,1.18809,0.008812,0.008812,0.008812
14,546.614,1.17105,0.62618,1.17616,0.96127,0.89021,0.93982,0.62039,1.19458,0.60284,1.20444,0.008713,0.008713,0.008713
15,584.873,1.17327,0.6152,1.18447,0.95871,0.89919,0.94498,0.62914,1.21983,0.58829,1.20348,0.008614,0.008614,0.008614
16,623.36,1.17851,0.62138,1.19195,0.96176,0.90508,0.95115,0.64578,1.18476,0.58563,1.1924,0.008515,0.008515,0.008515
17,662.008,1.15906,0.60055,1.18654,0.96983,0.90809,0.94458,0.63162,1.1809,0.57262,1.19737,0.008416,0.008416,0.008416
18,699.783,1.15461,0.59763,1.17913,0.9763,0.90101,0.94215,0.64046,1.15377,0.59578,1.18695,0.008317,0.008317,0.008317
19,738.951,1.14713,0.58809,1.16875,0.96505,0.90585,0.94719,0.64549,1.16459,0.57608,1.17998,0.008218,0.008218,0.008218
20,777.129,1.15555,0.58872,1.17089,0.96661,0.918,0.95424,0.65234,1.17216,0.53534,1.16484,0.008119,0.008119,0.008119
21,815.82,1.14054,0.58114,1.165,0.9682,0.91556,0.94865,0.64991,1.1603,0.54887,1.15727,0.00802,0.00802,0.00802
22,853.537,1.13511,0.5763,1.16618,0.96648,0.92528,0.95762,0.65581,1.12962,0.54626,1.14715,0.007921,0.007921,0.007921
23,891.479,1.12593,0.56976,1.16166,0.97748,0.9095,0.95408,0.65649,1.14163,0.55577,1.16668,0.007822,0.007822,0.007822
24,929.325,1.13009,0.57021,1.16654,0.97021,0.91526,0.95732,0.65735,1.1455,0.52681,1.16097,0.007723,0.007723,0.007723
25,968.254,1.13689,0.57553,1.17095,0.97861,0.91891,0.96052,0.66586,1.13425,0.51554,1.16783,0.007624,0.007624,0.007624
26,1006.25,1.12476,0.56836,1.16074,0.9722,0.9262,0.96085,0.67336,1.11264,0.51664,1.15248,0.007525,0.007525,0.007525
27,1044.2,1.12152,0.55801,1.16032,0.9719,0.92164,0.9613,0.6668,1.14055,0.51348,1.16173,0.007426,0.007426,0.007426
28,1082.18,1.11489,0.54916,1.151,0.97465,0.92826,0.96363,0.66003,1.11982,0.51125,1.15477,0.007327,0.007327,0.007327
29,1120.04,1.12515,0.54761,1.15514,0.98106,0.91162,0.95423,0.6593,1.144,0.52934,1.16557,0.007228,0.007228,0.007228
30,1157.9,1.11204,0.54293,1.15389,0.96955,0.91387,0.95503,0.6664,1.13186,0.51133,1.14795,0.007129,0.007129,0.007129
31,1196.16,1.10409,0.53947,1.14575,0.96987,0.91982,0.96105,0.66889,1.11452,0.5085,1.14779,0.00703,0.00703,0.00703
32,1233.89,1.11703,0.54669,1.15678,0.9814,0.91116,0.95559,0.66726,1.13341,0.50419,1.14612,0.006931,0.006931,0.006931
33,1272.51,1.10913,0.53545,1.15215,0.98203,0.92102,0.96122,0.66638,1.12334,0.50887,1.14561,0.006832,0.006832,0.006832
34,1310.84,1.10101,0.53396,1.14923,0.98064,0.923,0.96473,0.67338,1.1127,0.50517,1.17793,0.006733,0.006733,0.006733
35,1349.22,1.09529,0.53589,1.14461,0.97882,0.9263,0.96384,0.67409,1.10071,0.48903,1.13158,0.006634,0.006634,0.006634
36,1386.9,1.08829,0.52641,1.13509,0.98046,0.92437,0.96598,0.67631,1.10843,0.48661,1.14405,0.006535,0.006535,0.006535
37,1425.17,1.09841,0.52789,1.14586,0.98343,0.91935,0.96061,0.67546,1.09732,0.48394,1.13903,0.006436,0.006436,0.006436
38,1463.14,1.09498,0.52917,1.13972,0.98182,0.91891,0.96155,0.67248,1.11951,0.48156,1.14508,0.006337,0.006337,0.006337
39,1501.09,1.08279,0.51842,1.13883,0.98149,0.93804,0.96414,0.67296,1.10158,0.46854,1.13855,0.006238,0.006238,0.006238
40,1539.41,1.09153,0.52044,1.14347,0.98075,0.93622,0.96597,0.67909,1.09899,0.47415,1.14328,0.006139,0.006139,0.006139
41,1577.96,1.07792,0.51474,1.12738,0.98099,0.92665,0.96146,0.67053,1.10121,0.4908,1.13397,0.00604,0.00604,0.00604
42,1615.97,1.07647,0.50995,1.13118,0.98502,0.92858,0.96577,0.67979,1.10339,0.4684,1.14022,0.005941,0.005941,0.005941
43,1653.34,1.07805,0.50574,1.1349,0.97709,0.9303,0.96592,0.68067,1.09632,0.461,1.13576,0.005842,0.005842,0.005842
44,1691.06,1.07781,0.5089,1.13075,0.97989,0.93247,0.96587,0.6756,1.09887,0.46381,1.13586,0.005743,0.005743,0.005743
45,1729.43,1.07658,0.50602,1.13261,0.98082,0.93166,0.96473,0.67604,1.10338,0.46697,1.15271,0.005644,0.005644,0.005644
46,1767.36,1.07431,0.50426,1.12594,0.98553,0.93096,0.96946,0.68071,1.10294,0.45832,1.13998,0.005545,0.005545,0.005545
47,1805.01,1.07359,0.49999,1.13168,0.98312,0.92877,0.96594,0.6861,1.08971,0.45777,1.14025,0.005446,0.005446,0.005446
48,1842.74,1.06577,0.49603,1.12586,0.98363,0.93349,0.96766,0.6868,1.08624,0.45926,1.1334,0.005347,0.005347,0.005347
49,1880.39,1.06804,0.49876,1.12155,0.978,0.93166,0.96276,0.67528,1.09946,0.45643,1.13423,0.005248,0.005248,0.005248
50,1918.02,1.06996,0.49661,1.12955,0.98642,0.93531,0.96824,0.68917,1.08555,0.45306,1.14227,0.005149,0.005149,0.005149
51,1955.7,1.0632,0.48661,1.1259,0.97991,0.93622,0.96912,0.69897,1.0786,0.44992,1.1354,0.00505,0.00505,0.00505
52,1993.15,1.06125,0.49482,1.12806,0.98529,0.93212,0.96679,0.68358,1.08469,0.44844,1.14219,0.004951,0.004951,0.004951
53,2030.66,1.05991,0.48582,1.11803,0.97716,0.93577,0.96818,0.69797,1.07578,0.4446,1.13109,0.004852,0.004852,0.004852
54,2068.01,1.05849,0.48653,1.12003,0.97809,0.93548,0.96385,0.69038,1.07872,0.43685,1.12371,0.004753,0.004753,0.004753
55,2105.73,1.05678,0.49035,1.12161,0.98262,0.93941,0.96988,0.69386,1.06957,0.44009,1.13165,0.004654,0.004654,0.004654
56,2143.37,1.04589,0.47922,1.11978,0.9777,0.93869,0.96673,0.69366,1.06754,0.43679,1.12212,0.004555,0.004555,0.004555
57,2180.84,1.04721,0.47969,1.11397,0.98676,0.93713,0.96866,0.7002,1.06186,0.43017,1.11755,0.004456,0.004456,0.004456
